iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,is_best
1,random,0.2672252551841836,-1.1994267790466266,0.01620955547767529,0.7049582906585586,0.09046800706458055,4,128,0.7122920571808584,False
2,random,0.2676357055300324,-1.2028050356470605,0.01886909842802269,0.9188489682951995,0.18691333659165826,5,27,0.8819907327301539,False
3,random,0.31505286072627686,-1.5930771334431615,0.021891615419363814,0.7008215500510444,0.19026086356816524,4,95,0.9447560662364596,False
4,random,0.25022331065486697,-1.059490409380254,0.016010629674417534,0.7526966861807677,0.05503783629581965,6,60,0.9188966339289832,False
5,random,0.2133283858356078,-0.7558226830552852,0.013087692437947426,0.8268061663592975,0.13121918303736377,6,14,0.7899135671612154,False
6,bayes,0.13684986648776906,-0.12635783939919154,0.0005558796242224046,1.0,0.2,6,1,0.7,False
7,bayes,0.07287881660748849,0.4001629046578775,0.0007585041738273914,1.0,0.1674506184872349,1,28,0.7,False
8,bayes,0.0800508747568207,0.34113249324093076,0.0010142679535550978,1.0,0.13708321778998148,1,140,0.9065693372105637,False
9,bayes,0.07578319869246007,0.37625806927895045,0.0008850260095383275,0.7,0.0856151133815795,1,123,0.7,False
10,bayes,0.13658786809427334,-0.1242014328786909,0.004434802043201977,1.0,0.06625726958626135,2,120,0.7,False
11,bayes,0.13984645874251986,-0.15102162069650915,6.70320163036458e-07,0.7,0.05,1,1,1.0,False
12,bayes,0.07328200555281403,0.3968444138110697,0.0008279993304040366,0.8535043658565936,0.05,1,150,0.7,False
13,bayes,0.07323715608087962,0.3972135523100888,0.0008371288050974009,1.0,0.05,1,150,0.801634627449309,False
14,bayes,0.14179188805819823,-0.16703369010475533,0.004764630763139876,0.7019098005080764,0.14592498486134914,2,49,0.7099148654792833,False
15,bayes,0.08666958369852204,0.2866564831832005,0.00028823929031513806,0.8530497281620081,0.17846190521018815,1,7,0.7705885702777747,False
16,bayes,0.08344044885790158,0.31323423174486986,0.0010758510796317706,0.9552111118378857,0.196034580875041,1,143,0.7202724867282962,False
17,bayes,0.10034349095692245,0.17411188938125177,0.00010009336340255415,1.0,0.05,1,14,1.0,False
18,bayes,0.07796438234682666,0.3583055979224311,0.0009333578103236955,0.7105566041560326,0.11567751633882761,1,123,0.7024913375560238,False
19,bayes,0.1397928560225213,-0.15058043762901296,7.003632816280849e-07,1.0,0.05,1,1,0.8588657110911824,False
20,bayes,0.07367681635026309,0.39359488022949407,0.0008658294189951768,1.0,0.05,1,150,1.0,False
21,bayes,0.07271263148798429,0.4015307095154862,0.0007178541235770606,1.0,0.05,1,86,0.7,False
22,bayes,0.13982651890329895,-0.15085750366227857,7.013695158394656e-07,0.7,0.05,1,1,0.7,False
23,bayes,0.07902349442758436,0.34958845975064856,0.0009730829427458514,0.9430017101490531,0.2,1,66,0.7448766381801613,False
24,bayes,0.08029890474920187,0.339091055178223,0.0009888338658247387,1.0,0.2,1,94,0.7,False
25,bayes,0.07624148841089087,0.37248606547420604,0.0005391195103510883,0.981606229801723,0.05,1,53,0.7193341654295764,False
26,bayes,0.12772865813410306,-0.051284733391716575,0.00031358257298570724,0.9447888117518312,0.2,3,1,0.8564491359306727,False
27,bayes,0.07263759329355865,0.4021483196068576,0.0007827061200522217,1.0,0.05,1,105,0.7,True
28,bayes,0.290215017004727,-1.3886465358288045,0.02080669483123041,0.854614150144371,0.05,6,150,0.7308589142050353,False
29,bayes,0.19340956856100636,-0.5918786722599771,0.007923316009435431,0.8398145749064925,0.053505793253435456,3,146,0.7566984378051627,False
30,bayes,0.07425962852650107,0.3887979806748889,0.0006498598459524108,0.7,0.05,1,70,1.0,False
31,bayes,0.10238761994887383,0.15728746145948014,0.0025608913610228362,0.9684021473492453,0.2,2,17,0.740543132465269,False
32,bayes,0.07584517364465371,0.37574797763588763,0.0008907804146591326,0.7579518055534583,0.2,1,45,0.9992462456522511,False
33,bayes,0.07343525964746618,0.395583039172119,0.0006859158454854248,0.7315403782919851,0.2,1,19,0.7585502192218596,False
34,bayes,0.07302888832024937,0.39892772296220946,0.0008264767043584613,0.969074795908322,0.05,1,135,0.8499528561613536,False
35,bayes,0.0812937489316181,0.33090288099432374,0.0003699166512696182,0.8351772572183599,0.05,1,36,0.8601600877743956,False
36,bayes,0.13810832981476087,-0.13671575987316031,1.6120365160853583e-05,0.7830663909213278,0.0541299162024503,5,1,0.9722607717994999,False
37,bayes,0.27784566103301966,-1.286839194509278,0.019813066389009596,0.7752808009705096,0.16630991547220778,2,150,0.8979612432856603,False
38,bayes,0.13873718317107586,-0.14189160641139043,9.992717979495305e-06,0.9530988095834658,0.05,3,1,0.7010809682505391,False
39,bayes,0.09404038804888486,0.22599026935499156,0.002169471110225257,1.0,0.05,2,70,0.7,False
40,bayes,0.07294380346107883,0.3996280232299445,0.0008178363682097641,1.0,0.09377581124719868,1,74,0.7,False
41,bayes,0.10610765499443614,0.1266693049062665,0.002799644726799681,1.0,0.05,2,90,0.7,False
42,bayes,0.1284545702479424,-0.057259432681692424,0.00035880047427925253,0.9990874336177267,0.2,4,1,0.8751321103293068,False
43,bayes,0.12023654345291795,0.010379938422814261,8.930125744199213e-05,1.0,0.2,2,1,0.7,False
44,bayes,0.20468690607994353,-0.6846980359028398,0.009913205944954148,0.9773252707358535,0.2,3,35,0.975639809354802,False
45,bayes,0.17258896668247786,-0.4205124243507319,0.006508809957869257,0.9887516822127365,0.05,3,101,0.7985120970392454,False
46,bayes,0.32949299170518187,-1.7119282156361746,0.027406631700289674,0.7699249270573915,0.1942192702642246,6,102,0.7941972653305654,False
47,bayes,0.07328012353440347,0.396859903970067,0.0006650740954781969,1.0,0.05,1,75,0.7,False
48,bayes,0.07376046298437451,0.39290641743089016,0.0006793811626825195,1.0,0.05,1,74,1.0,False
49,bayes,0.08515660106747314,0.29910925271154354,0.0014208585550701406,1.0,0.05,2,35,0.7,False
50,bayes,0.07453617246623151,0.38652185544036743,0.0008751155678122748,1.0,0.09188508403427802,1,96,0.7,False
51,bayes,0.13841778527444737,-0.1392627669832769,1.111661286179584e-05,0.9259186615468815,0.05,4,1,0.7465146021974189,False
52,bayes,0.07269759011499125,0.4016545091860364,0.0007716522521840034,0.9176490759590819,0.10085364370330605,1,50,0.7131833178626448,False
53,bayes,0.07674195930333355,0.3683668848892234,0.0005245001362351027,1.0,0.05,1,51,0.7,False
54,bayes,0.0765492172420594,0.36995326956952934,0.0005311037884153043,1.0,0.05,1,52,0.7,False
55,bayes,0.07654921124375619,0.3699533189392219,0.0005311035431860389,0.9971509502379683,0.05,1,52,0.7,False
