config,model,y,term,coef,std_error,t_stat,p_value,r_squared,n_obs,logged_vars_used
A,Tree,global_mse,const,0.07065425274978689,0.012255458988828153,5.765124979341367,8.159735111083631e-09,0.9368875730007736,55,"n_estimators,min_samples_leaf"
A,Tree,global_mse,log_n_estimators,-0.0015231944431562834,0.0029328054955985,-0.5193642897363174,0.6035067288409259,0.9368875730007736,55,"n_estimators,min_samples_leaf"
A,Tree,global_mse,max_depth,0.040461526207589874,0.0015245600290503957,26.53980521369971,3.367623354284192e-155,0.9368875730007736,55,"n_estimators,min_samples_leaf"
A,Tree,global_mse,log_min_samples_leaf,-0.002246607962548904,0.0049106397362535335,-0.45749802127877237,0.647313124208404,0.9368875730007736,55,"n_estimators,min_samples_leaf"
A,Tree,var_mse_across_horizons,const,-0.004126017509270332,0.004007710777265958,-1.0295197778930252,0.3032354908056346,0.8135347040668817,55,"n_estimators,min_samples_leaf"
A,Tree,var_mse_across_horizons,log_n_estimators,-0.00044961445584458336,0.0010108805350311143,-0.44477506516706694,0.6564823157104291,0.8135347040668817,55,"n_estimators,min_samples_leaf"
A,Tree,var_mse_across_horizons,max_depth,0.008074424179545677,0.0004288268179681179,18.829102661545733,4.3608753715411874e-79,0.8135347040668817,55,"n_estimators,min_samples_leaf"
A,Tree,var_mse_across_horizons,log_min_samples_leaf,0.00015241111011333135,0.0017472743121639876,0.0872279235448561,0.930490344164804,0.8135347040668817,55,"n_estimators,min_samples_leaf"
A,XGBoost,global_mse,const,0.11902629988208831,0.07058708547425463,1.6862333822452693,0.09175085651531223,0.7209678247914619,55,"n_estimators,learning_rate"
A,XGBoost,global_mse,log_n_estimators,0.007478657771264073,0.00423663844298227,1.7652338928406808,0.07752446460166657,0.7209678247914619,55,"n_estimators,learning_rate"
A,XGBoost,global_mse,max_depth,0.03273741557832485,0.004168885685841977,7.852797616760024,4.068579240677841e-15,0.7209678247914619,55,"n_estimators,learning_rate"
A,XGBoost,global_mse,log_learning_rate,0.006979032546408548,0.009504913585585108,0.7342552337343453,0.4627931959425271,0.7209678247914619,55,"n_estimators,learning_rate"
A,XGBoost,global_mse,subsample,0.06554948109432643,0.05677799769056767,1.1544873676518526,0.24830041461285757,0.7209678247914619,55,"n_estimators,learning_rate"
A,XGBoost,global_mse,colsample_bytree,-0.13646758776280038,0.058239136940299883,-2.343228195546431,0.019117686244133777,0.7209678247914619,55,"n_estimators,learning_rate"
A,XGBoost,var_mse_across_horizons,const,0.0006902261945188825,0.005947065491428355,0.11606164342964134,0.9076036874316089,0.756329797549713,55,"n_estimators,learning_rate"
A,XGBoost,var_mse_across_horizons,log_n_estimators,0.0018923392773503825,0.00038042453884373767,4.974282897475432,6.548961255382856e-07,0.756329797549713,55,"n_estimators,learning_rate"
A,XGBoost,var_mse_across_horizons,max_depth,0.0029551161282303034,0.0004065881585311724,7.268082127393633,3.646270993845569e-13,0.756329797549713,55,"n_estimators,learning_rate"
A,XGBoost,var_mse_across_horizons,log_learning_rate,0.001451018908087582,0.0008593575723163701,1.6884926075375215,0.09131670684184093,0.756329797549713,55,"n_estimators,learning_rate"
A,XGBoost,var_mse_across_horizons,subsample,0.005643387837734437,0.0047630832411595025,1.18481822634715,0.2360893246095721,0.756329797549713,55,"n_estimators,learning_rate"
A,XGBoost,var_mse_across_horizons,colsample_bytree,-0.011566796618477915,0.004968611967181136,-2.3279734249483273,0.019913514839306284,0.756329797549713,55,"n_estimators,learning_rate"
A,LSTM,global_mse,const,0.00319618460320642,0.055600342292079136,0.057484980693396755,0.9541588699940984,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,log_learning_rate,-0.019144590271217923,0.004534070007007642,-4.222385239228543,2.417304855286046e-05,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,log_batch_size,0.01679249476382318,0.00781810715299021,2.1478977500839846,0.031721879167000165,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,log_epochs,-0.0021751173577469526,0.005794587083480144,-0.3753705529679621,0.7073849017898153,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,log_patience,-0.027449502267808217,0.010697861789771463,-2.565886791887093,0.010291241013814815,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,log_units,-0.004897189619138473,0.006000943902686349,-0.816069888096475,0.4144601649814045,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,num_layers,0.005321371769540537,0.006501828206658788,0.8184423827271694,0.41310462923309654,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,dropout,-0.14146508091469875,0.06117802905337366,-2.312351069552766,0.020758344479512962,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,global_mse,recurrent_dropout,-0.021910281770833193,0.035770636267768434,-0.612521443756809,0.5401928148119068,0.6644693100027423,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,const,1.3644455591691048e-06,0.00033114527455647074,0.004120383602020641,0.9967124188418833,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_learning_rate,-4.79373242322226e-05,4.634525700065216e-05,-1.0343523228611728,0.30097148450821964,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_batch_size,3.523007366124038e-05,3.0424114805053426e-05,1.1579654457321693,0.24687813786550672,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_epochs,6.851265625627529e-05,2.8030273725226727e-05,2.4442378596758108,0.014515852732091411,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_patience,-6.701766183803843e-05,6.527733764845106e-05,-1.026660465213208,0.304580371481046,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_units,4.5053372437885386e-05,4.445090928701478e-05,1.0135534494239604,0.3107958796041803,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,num_layers,-9.267239221330632e-05,4.1789259424809904e-05,-2.217612694956914,0.026581251557878823,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,dropout,-0.0010265958853172893,0.0003244430399939643,-3.1641790970038604,0.001555210613429706,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,recurrent_dropout,0.00015191670001157026,0.00021471742379970766,0.7075192004598608,0.4792438850592382,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,const,0.05024001344315453,0.04537063442576982,1.1073244639184276,0.2681536709896739,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_learning_rate,-0.023005858312891474,0.003523973032204831,-6.528386597356418,6.64819186610805e-11,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_batch_size,-0.00546614783375354,0.005664385794224619,-0.9650027438679757,0.3345434374568049,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_epochs,-0.010795722530068608,0.004574774060238871,-2.359837313912047,0.01828295092950396,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_patience,-0.022876759797715106,0.00833091899050356,-2.7460067519312568,0.0060325522080964325,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_units,0.005107180785551592,0.0052411520151332365,0.9744385911351516,0.32983881599744125,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,num_layers,-0.0013143991793903595,0.004842000845533152,-0.27145785829486596,0.7860389074057688,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,dropout,-0.08588673585083319,0.030656584268915644,-2.8015755146576575,0.005085373785033765,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,recurrent_dropout,0.01696488986051352,0.0288988658546148,0.5870434482052322,0.55717452679165,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,const,-0.0020122290604072876,0.0016215127459890163,-1.2409579051319513,0.21462129980097788,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_learning_rate,-0.000650435893291201,0.0004207857919623682,-1.5457648659139396,0.12216136509525936,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_batch_size,-7.354731095980137e-05,0.00021197680738432038,-0.34695923515093735,0.7286219442221028,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_epochs,-0.0005427843102681345,0.000372899519024859,-1.4555779307185168,0.14550933254520787,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_patience,0.000387254534378446,0.00035950509345052817,1.077187893672323,0.28139633266474284,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_units,-0.00010753538351028979,0.0002558142248174186,-0.4203651442254263,0.6742187270442819,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,num_layers,-1.0733699290204536e-05,0.00017595300657325492,-0.061003216138484966,0.9513566477199554,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,dropout,0.0007974210299608956,0.0020177863148613103,0.39519597495917463,0.6926982629519901,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,recurrent_dropout,-0.0010535721335449715,0.0015323882705072921,-0.6875360206171443,0.4917450099592281,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
